Cluster,Serial_No.,GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
0,184.67307692307693,329.96153846153845,114.36538461538461,4.451923076923077,4.471153846153846,4.3701923076923075,9.320865384615384,0.9230769230769231,0.8925
1,190.01,312.3,105.78,2.9,3.365,3.44,8.4802,0.0,0.6803
2,203.21296296296296,318.75925925925924,107.96296296296296,2.990740740740741,3.4074074074074074,3.384259259259259,8.601759259259259,1.0,0.7357407407407407
3,229.73563218390805,304.0344827586207,100.37931034482759,1.8160919540229885,2.1551724137931036,2.471264367816092,7.889540229885057,0.16091954022988506,0.5640229885057472
